MONTH	BOROUGH	COMMUNITYDISTRICT	REFUSETONSCOLLECTED	PAPERTONSCOLLECTED	MGPTONSCOLLECTED	BOROUGH_ID
2014 / 02	Brooklyn	12	5141.8	647.52	319.28	3
2014 / 02	Staten Island	1	3546.19	504.56	467.41	5
2014 / 02	Queens	2	2264.07	321.19	270.97	4
2014 / 02	Manhattan	4	2080.72	356.21	308.83	1
2014 / 02	Brooklyn	18	3872.94	478.5	405.57	3
2014 / 02	Bronx	2	1391.07	65.87	79.33	2
2014 / 03	Manhattan	7	4985.19	930.21	638.78	1
2014 / 03	Brooklyn	9	2957.87	222.36	159.77	3
2014 / 03	Queens	7	5788.71	788.45	532.06	4
2014 / 03	Queens	1	3916.84	540.25	493.31	4
2014 / 03	Manhattan	12	4927.94	372.81	377.3	1
2014 / 03	Staten Island	3	4967.29	740.01	539.45	5
2014 / 03	Bronx	11	2784.58	270.93	251.05	2
2014 / 03	Queens	6	2570.87	390.36	283.44	4
2014 / 03	Bronx	6	2136	101.45	119.51	2
2014 / 03	Bronx	9	3708.8	174.81	242.04	2
2014 / 03	Queens	10	3302.88	361.69	360.26	4
2014 / 03	Brooklyn	18	4831.88	537.71	449.69	3
2014 / 03	Manhattan	10	2735.88	190.8	156.12	1
2014 / 03	Bronx	8	2294.58	306.44	262.53	2
2014 / 03	Brooklyn	7	3064.97	384.29	322.2	3
2014 / 03	Manhattan	6	2732.89	455.43	345.87	1
2014 / 03	Bronx	2	1544.48	77.92	90.25	2
2014 / 03	Staten Island	2	3736.34	541.53	414.76	5
2014 / 03	Manhattan	4	2208.57	380.8	311.47	1
2014 / 03	Manhattan	9	2382.63	229.9	201.6	1
2014 / 03	Queens	11	2575.27	478.31	327.94	4
2014 / 03	Brooklyn	6	2126.16	520.43	354.13	3
2014 / 03	Brooklyn	1	5122.66	466.89	389.1	3
2014 / 03	Queens	2	2722.19	355.76	286.25	4
2014 / 03	Brooklyn	12	6202.62	702.4	386.37	3
2014 / 03	Bronx	12	3579.82	337.11	404.14	2
2014 / 03	Queens	5	4448.89	608.82	564.45	4
2014 / 03	Manhattan	1	1280.25	341.44	193.01	1
2014 / 03	Brooklyn	13	2025.37	142.69	137.57	3
2014 / 03	Bronx	3	1871.32	95.88	95.26	2
2014 / 03	Brooklyn	4	2975.31	190.8	246.93	3
2014 / 03	Brooklyn	3	3915.1	243.59	217.42	3
2014 / 03	Manhattan	8	5125.06	1004.95	646.81	1
2014 / 03	Staten Island	1	4691.34	590.95	547.31	5
2014 / 03	Bronx	10	2273.23	302.86	272.8	2
2014 / 03	Bronx	1	1966.89	92.55	95.37	2
2014 / 03	Queens	4	3903.47	308.2	277.54	4
2014 / 03	Brooklyn	5	4154.73	225.23	269.04	3
2014 / 03	Queens	8	3261.55	456.56	327.97	4
2014 / 03	Bronx	4	4235.93	212.93	207.23	2
2014 / 03	Brooklyn	10	3002.6	483.67	338.92	3
2014 / 03	Manhattan	2	1972.42	393.47	272.51	1
2014 / 03	Queens	12	5760.07	453.02	583.51	4
2014 / 03	Brooklyn	15	4188.79	571.62	387.58	3
2014 / 03	Queens	3	4354.6	334.09	350.15	4
2014 / 03	Manhattan	11	2131.73	165.96	137.55	1
2014 / 03	Bronx	5	3474.36	185.54	235.04	2
2014 / 03	Brooklyn	2	2351.56	391.63	290.17	3
2014 / 03	Manhattan	3	2810.29	277.43	239.14	1
2014 / 03	Manhattan	5	1265.32	205.39	141.9	1
2014 / 03	Queens	9	3634.37	402.93	395.34	4
2014 / 03	Queens	13	4426.88	485.26	566.29	4
2014 / 03	Queens	14	2886.03	215.3	168.85	4
2014 / 03	Brooklyn	14	4717.67	459.94	310.78	3
2014 / 03	Brooklyn	8	2593.42	214.48	200.66	3
2014 / 03	Bronx	7	3672.36	232.77	284.49	2
2014 / 03	Brooklyn	11	4395.84	583.35	401.07	3
2014 / 03	Brooklyn	17	3935.18	293.94	319.75	3
2014 / 03	Brooklyn	16	1848.86	95.84	100.54	3
2014 / 04	Queens	9	4105.18	432.63	409.88	4
2014 / 04	Queens	13	5506.03	532.64	604.04	4
2014 / 04	Bronx	12	3904.9	361.32	429.48	2
2014 / 04	Manhattan	3	2990.17	305.14	257.27	1
2014 / 04	Bronx	4	4220.37	218.59	218.77	2
2014 / 04	Brooklyn	3	4077.13	274.99	237.02	3
2014 / 04	Brooklyn	6	2364.66	556.4	364.33	3
2014 / 04	Brooklyn	13	2161.51	177.27	159.6	3
2014 / 04	Manhattan	4	2292.4	398.99	316.39	1
2014 / 04	Bronx	5	3484.34	192.63	247.94	2
2014 / 04	Manhattan	9	2483.99	243.34	206.83	1
2014 / 04	Manhattan	5	1300.48	269.12	165.85	1
2014 / 04	Brooklyn	11	4878.57	667.2	440.33	3
2014 / 04	Queens	1	4246.51	563.43	505.85	4
2014 / 04	Bronx	11	3023.32	284.48	261.54	2
2014 / 04	Staten Island	3	6162.85	841.86	643.43	5
2014 / 04	Bronx	3	1881.67	125.55	121.22	2
2014 / 04	Brooklyn	7	3389.37	422.13	339.82	3
2014 / 04	Manhattan	1	1319.51	329.12	184.75	1
2014 / 04	Manhattan	11	2165.37	207.91	164.08	1
2014 / 04	Manhattan	12	5026.03	434.81	422.58	1
2014 / 04	Brooklyn	15	4614.74	638.61	427.22	3
2014 / 04	Bronx	1	1919.75	98.33	105.3	2
2014 / 04	Queens	5	5088.97	645.53	584.66	4
2014 / 04	Brooklyn	2	2514.03	418.03	307.27	3
2014 / 04	Brooklyn	12	6406.85	701.72	418.12	3
2014 / 04	Manhattan	8	5584.27	1118.36	682.68	1
2014 / 04	Queens	4	4216.23	330.25	284.15	4
2014 / 04	Manhattan	6	2927.23	484.39	345.06	1
2014 / 04	Bronx	7	3665.77	249.41	295.67	2
2014 / 04	Staten Island	2	4446.79	591.52	478.94	5
2014 / 04	Brooklyn	10	3327.32	545.77	358.81	3
2014 / 04	Brooklyn	4	3162.79	191.68	243.36	3
2014 / 04	Queens	2	2893.58	385.43	299.18	4
