chicago,"
Have you been bad lately? Maybe you are not working as hard as you should at the office or you are not studying like you should for that upcoming test? Maybe what you need is a little discipline in your life. Maybe a good bare ass spanking with the hand, belt, frat paddle, or hairbrush will help you focus. At first you start out with a cocky attitude like you don't care what is about to happen to you. You get pulled over my knee and you are spanked over those blue jeans with my hand and you are so cocky that you start giggling. So we go to the belt being applied to the back of the jeans and after several swats with the belt your cockiness is more than ever. So the jeans come off and the belt is used many more times across the back of your boxers. And while not quite as much as before, the cocky attitude still seems to exist. As the boxers are pulled off, you start to think for the first time ""maybe I should not always be so cocky."" The belt against the bare ass for many more swats as you squirm because you do not like the feeling - you should have thought about that before. You are then given a time out and made to kneel in the corner to think of what you have done. 

You start to think that was not too bad after all but then you realize it is not over. What is next - do we go to the hairbrush where you are forced to decide which side of the brush you want on your bare ass first? Or maybe you need the frat paddle across that bare ass to really make the point. Perhaps both. 

I am good looking, 6'3, 185# white guy. If you want or need a spanking please be my age or younger and h/w/p. Please email me your stats, including age and approximate location and what kind of scene you are looking for. 

"
chicago,"
Title says all! Wanna try this- haven't before. Making out, hot shower, jo, and ?? Can host. If you enjoy a glass of wine even better. Older guys are a plus! Up late tonight...
"
chicago,"
Be clean ddf 21-45 hwp. Hosting now .. Belmont and Hawthorne in Franklin park ..send stats and pic in first email or txt ..no long emails
"
chicago,"
48 wht bi sub cock and cum addict here from northside. 5'8"" 210 brn/brn 36w hwp moderately hairy. 420 and popper play here. I'm a complete cum addict and seeking cocks to cum all over my face and in my mouth/throat. looking to travel..........this is for now........feed this cum pig.
"
chicago,"
Bi guy here looking to suck a nice cock and possibly more, if the chemistry is there. Love poppering up and sucking a nice piece of meat, could swallow if your hiv- and ddf. Not into cl regulars, hookers, or massage therapists. I'm professional nice looking, decent shape guy here. I will exchange stats and more pics, once we feel there is some interest.
"
chicago,"
Looking for a regular or a one time thing with a low key dude DL guy here soo has to be discrete. Im young about 8thick, a chill ass gl dude will be perfect to fuck with hit me up with ur stats and a pic to get this goin no one over 30 pls thnks. Can host or travel
"
chicago,"
masc discreet 54 yr old, 7c, 6'1, hairy , ddf looking for hairy men for oral, 69,body contact, showering, massage etc

six3oh-9oh1-4five8oh
"
chicago,"
Haven't done this in some time, but seems like a good night to try this.
Never had much luck here, mostly jokers and flakes. 
Are you serious? 
Need to blow a load?
Offering my hands or mouth to help you get off. 
You must be clean, sane, and discreet.
Looking for a beefy dude, 40+, average endowment preferred. 

"
chicago,"
Roomie just headed off to work and I'm looking to get my throat coated with some warm DL (disease free) jizz
Fit discreet DL college dude here
"
chicago,"
Any hot and hung studs need great oral? In Lakeview here giving great oral service to completion... Gloryhole, so very discrete. Send a pic of what I'll be working on with a brief description. Looking for now till late afternoon. 
"
chicago,"
Looking for a white guy, 18-42 who is in good shape and wants me to pour baby oil on his cock and stroke on it until his cum is hits the ceiling! Send cock pic. Face not needed!
"
chicago,"
let's get this going
looking for some safe fun, 5'10"" 170lbs athletic type 6.5 cut. ddf, bttm vers

love to cuddle...

HuRry lets get this going

Eigh four seven eight zero nine 1154
"
chicago,"
Looking for an anon neg top to come over tonight If you are interested send me your stats and a pic. I am 6'2 190 br/br tan smooth



poppers cool
"
chicago,"
So here's the thought. I enjoy video games here and there and always thought it would be cool if I found a buddy who likes to play too. (PS3 console here)We can hang out have a few beers and play sports games and see who is on the bottom for that night or who gets what done to them. With little half time side play like losing guy at half time has to play the rest of the game with a dildo up his ass. It's a thought. Not that great at poker but I can enjoy a night of strip. Or we can just hang out and have fun.

Would like to find a FWB situation. Must be very discrete. Can be cool hang out buddy in public just as regular guys but alone we can get it on.
Only interested in guys between 30 and 45, white hwp. i can deal with a few extra pounds like me but no rolls please. 
I'm 40 5'11"" two fifteen but working on it. Bi Into oral, making out, versatile, dilos, toys, cock rings, cum, and use condoms for anal. DDF here you be too. If you're a smoker or 420 thats cool. I'm not into that but I have no hang ups with it. I prefer to travel to you. Hosting is difficult for me.
If this sounds cool to you lets chat and trade pics see if we click.
Later
"
chicago,"
Hotel guys/locals: Easygoing experienced discreet guy offers mind-blowing awesome deep tissue massage tonight...I know you've been thinking about it! I'm in-shape professional masculine ddf/neg. Hit me back with your questions and for all details Thanks so much!
"
chicago,"
I am a handsome smooth chub. Hosting at Peterson/California
1 on 1 IS COOL, OR GROUP
Fuck me so hard that the neighbors here me!!
I am 5*10. Nice belly, very tight, white, deep smooth butt.
I am looking for a rough ass pounding.
I am very oral and love to deepthroat. Give me a hot facial.
Put"" Rough Butt Fucking"" in subject to eliminate spam.
"
chicago,"
Do you enjoy giving an athletic muscular guy a head to toe massage? 
Looking for someone that needs practice or enjoys doing this.
Very masculine guy here. 
Prefer if you have experience and I must travel to you. 
Hit me up with your location, info, etc. 
"
chicago,"
Bi white male here who loves sucking off guys. I havent swallowed a load yet, but I wanna try. I'll come over and suck you to completion, then let you unload in my mouth. Maybe I'll even swallow.

I'm 29, six foot, One ninety, 6c hairy clean....I've also got long hair if that matters. Face pics for trade. No pic no play. Cant host. Looking for ASAP

Text me 2two four7 one five 5 four zero4.

Kik= bivlos
"
chicago,"
Looking to suck a hot guy and swallow his load. If you're interested send a face pic in your first message and I'll respond with one. Please be around my age, fit, and HIV neg and std free.
"
chicago,"
Looking for a white guy, 18-42 to blow me. host or can travel. Send stats and pic in first e-mail.
"
chicago,"
want suck someone off and swapping if you're up for it. Now
Be clean, real and under 33
Email with pics stats and location
Let's do this now,
Don't be a flake.
By flossmoor,tinley, etc.
"
chicago,"
horny dude discreet. Looking to host someone for oral fun. Mutual oral would be cool. I'm 5""9 br/br 190 7 c gl masc. no fem or snobs. Normal chill dude for fun. Blo n go cool DDF 420 popper ok with me. If interested send pic and I'll reply with mine. Very discreet here. Under 45 please
"
chicago,"



I'm not looking for long, marathon fucks.

MUST have PICS in the FIRST e-mail.

EMPTY e-mails will be DELETED

i respect privacy and discretion, but pics are a MUST before meeting.

ALL types WELCOME.

i can host or travel if you're within walking or biking distance.

I am in Andersonville.


Asian
5ft 6
125 pounds
Lean
Tan
Smooth
















"
chicago,"
I am, 5'7"" and 140 lbs, nice and smooth all over. I have a 6 inch cock and fit. My hole is nice and tight.

I want to find men to use me. I am very verbal and open to most things. I like men of all ages, and also would be open to groups. I cannot host and you must be clean. I love to bottom, suck, rim, and also enjoy tasting and swallowing cum. Looking for now
Send me pics and stats and what you want to do with me to get a reply.
"
chicago,"
anywhere you want. prefer under 30 groomed big cut cock and ddf safe only. send a dick pic or no response sorry

"
